date,time,temperature,humidity,ventilation,light_intensity,ph,disease growth possibility level
2/1/2019,11:40,12.36,65,high,medium,8.4,Low
2/1/2019,14:30,23,92,low,high,6.1,High
2/1/2019,17:40,13.59,63,high,medium,8.8,Low
2/2/2019,8:30,13.77,56,high,medium,8.7,Low
2/2/2019,11:40,18.1,56,medium,medium,5.1,Moderate
2/2/2019,14:30,15.87,51,high,medium,8.2,Low
2/2/2019,17:40,7.7,82,low,low,8.6,Moderate
2/3/2019,8:30,16.67,69,high,medium,8.7,Low
2/3/2019,11:40,11.03,65,high,low,8.3,Low
2/3/2019,14:30,15.31,94,medium,medium,8.2,Moderate
2/3/2019,17:40,26.86,61,low,high,6.4,Moderate
2/4/2019,8:30,29.66,55,high,high,5.8,Moderate
2/4/2019,11:40,20.98,64,medium,high,6,Moderate
2/4/2019,14:30,7.58,70,high,low,8.7,Moderate
2/4/2019,17:40,20.19,50,low,high,5.1,Moderate
2/5/2019,8:30,15.3,61,high,medium,8.5,Low
2/5/2019,11:40,5.22,53,high,low,9,Low
2/5/2019,14:30,11.16,63,high,low,8.6,Low
2/5/2019,17:40,14.24,95,low,medium,8.5,Moderate
2/6/2019,8:30,21.16,65,medium,high,5.6,Moderate
2/6/2019,11:40,27.42,55,high,high,6.1,Moderate
2/6/2019,14:30,14.17,57,high,medium,8.4,Low
2/6/2019,17:40,26.44,71,medium,high,5.5,High
2/7/2019,8:30,14.13,79,high,medium,8.6,Moderate
2/7/2019,11:40,8.51,66,high,low,8.9,Low
2/7/2019,14:30,28.18,81,medium,high,6.5,High
2/7/2019,17:40,23.18,81,low,high,6.4,High
2/8/2019,8:30,32.41,55,medium,high,5.7,Moderate
2/8/2019,11:40,5.03,63,high,low,8.4,Low
2/8/2019,14:30,5.45,58,high,low,8.9,Low
2/8/2019,17:40,12.66,67,high,medium,8,Low
2/9/2019,8:30,31.98,71,high,high,6.1,High
2/9/2019,11:40,5.61,94,medium,low,8.6,Moderate
2/9/2019,14:30,6.02,56,high,low,8.3,Low
2/9/2019,17:40,22.79,87,high,high,6.6,High
2/10/2019,8:30,5.57,53,high,low,8.3,Low
2/10/2019,11:40,31.5,61,high,high,6.3,Moderate
2/10/2019,14:30,10.07,63,high,low,8.4,Low
2/10/2019,17:40,15.58,93,medium,medium,8,Moderate
2/11/2019,8:30,20.16,54,high,high,6.4,Moderate
2/11/2019,11:40,20.38,54,high,high,5.1,Moderate
2/11/2019,14:30,12.42,58,high,medium,8,Low
2/11/2019,17:40,10.44,60,high,low,8.3,Low
2/12/2019,8:30,11.74,55,high,low,8.6,Low
2/12/2019,11:40,13.66,60,high,medium,8.1,Low
2/12/2019,14:30,6.45,66,high,low,8.4,Low
2/12/2019,17:40,9.59,56,high,low,8.8,Low
2/13/2019,8:30,33.69,67,medium,high,5.9,Moderate
2/13/2019,11:40,15.82,54,high,medium,8.2,Low
2/13/2019,14:30,14.8,59,high,medium,8.1,Low
2/13/2019,17:40,9.17,54,high,low,8,Low
2/14/2019,8:30,26,74,medium,high,6,High
2/14/2019,11:40,6.86,60,high,low,8.1,Low
2/14/2019,14:30,14.7,60,high,medium,8.1,Low
2/14/2019,17:40,25.2,71,low,high,6.6,High
2/15/2019,8:30,18.97,79,medium,medium,6.7,High
2/15/2019,11:40,33.84,96,medium,high,6.3,High
2/15/2019,14:30,16.74,63,high,medium,8.5,Low
2/15/2019,17:40,15.88,57,high,medium,8.7,Low
2/16/2019,8:30,14.85,87,high,medium,8.5,Moderate
2/16/2019,11:40,6.16,60,high,low,8.5,Low
2/16/2019,14:30,26.05,68,medium,high,7,Moderate
2/16/2019,17:40,9.58,57,high,low,8.8,Low
2/17/2019,8:30,29,72,medium,high,6.6,High
2/17/2019,11:40,14.88,61,high,medium,8.6,Low
2/17/2019,14:30,33.05,61,medium,high,6.9,Moderate
2/17/2019,17:40,28.22,73,low,high,6.4,High
2/18/2019,8:30,11.5,50,high,low,8.5,Low
2/18/2019,11:40,34.51,85,low,high,5.8,High
2/18/2019,14:30,15.38,54,high,medium,8.6,Low
2/18/2019,17:40,8.95,60,high,low,8.8,Low
2/19/2019,8:30,12.92,60,high,medium,8.6,Low
2/19/2019,11:40,33.73,89,medium,high,6.6,High
2/19/2019,14:30,6.73,52,high,low,8.7,Low
2/19/2019,17:40,18.3,80,high,medium,5.7,High
2/20/2019,8:30,13.76,59,high,medium,8.7,Low
2/20/2019,11:40,6.1,56,high,low,8.7,Low
2/20/2019,14:30,32.37,100,low,high,6.8,High
2/20/2019,17:40,15.54,93,medium,medium,8.6,Moderate
2/21/2019,8:30,12.44,87,low,medium,8.8,Moderate
2/21/2019,11:40,21.13,94,low,high,6.1,High
2/21/2019,14:30,29.07,54,low,high,6.3,Moderate
2/21/2019,17:40,15.09,64,high,medium,8.6,Low
2/22/2019,8:30,22.03,65,high,high,6.6,Moderate
2/22/2019,11:40,9.41,75,low,low,8.8,Moderate
2/22/2019,14:30,6.63,60,high,low,8.8,Low
2/22/2019,17:40,12.3,58,high,medium,9,Low
2/23/2019,8:30,7.18,69,high,low,8,Low
2/23/2019,11:40,25.36,95,low,high,6.1,High
2/23/2019,14:30,15.02,95,low,medium,8.2,Moderate
2/23/2019,17:40,14.35,52,high,medium,8.1,Low
2/24/2019,8:30,9.65,70,high,low,8.4,Moderate
2/24/2019,11:40,8.17,59,high,low,8.7,Low
2/24/2019,14:30,14.82,58,high,medium,9,Low
2/24/2019,17:40,8.92,56,high,low,8.5,Low
2/25/2019,8:30,10.07,61,high,low,8.3,Low
2/25/2019,11:40,21.32,96,medium,high,6.1,High
2/25/2019,14:30,24.49,65,low,high,6.4,Moderate
2/25/2019,17:40,10.32,56,high,low,8.6,Low
2/26/2019,8:30,6.56,54,high,low,9,Low
2/26/2019,11:40,28.78,66,low,high,5.5,Moderate
2/26/2019,14:30,8.32,83,medium,low,8.7,Moderate
2/26/2019,17:40,14.1,51,high,medium,8.6,Low
2/27/2019,8:30,12.9,54,high,medium,8.8,Low
2/27/2019,11:40,14.25,60,high,medium,8.3,Low
2/27/2019,14:30,8.98,99,medium,low,8.1,Moderate
2/27/2019,17:40,8.56,56,high,low,8.1,Low
2/28/2019,8:30,19.98,82,medium,medium,5.9,High
2/28/2019,11:40,29.27,54,high,high,5.6,Moderate
2/28/2019,14:30,15.36,56,high,medium,8.9,Low
2/28/2019,17:40,14.74,55,high,medium,8.7,Low
3/1/2019,8:30,14.08,86,medium,medium,8.5,Moderate
3/1/2019,11:40,6.23,53,high,low,9,Low
3/1/2019,14:30,29.34,69,high,high,6,Moderate
3/1/2019,17:40,11.27,81,high,low,8.9,Moderate
3/2/2019,8:30,11.42,64,high,low,8.3,Low
3/2/2019,11:40,27.51,92,high,high,5.8,High
3/2/2019,14:30,16.07,59,high,medium,8.7,Low
3/2/2019,17:40,10.51,82,medium,low,8.4,Moderate
3/3/2019,8:30,5.54,69,high,low,8.7,Low
3/3/2019,11:40,7.75,67,high,low,9,Low
3/3/2019,14:30,34.85,61,medium,high,5.4,Moderate
3/3/2019,17:40,23.66,78,low,high,5.8,High
3/4/2019,8:30,32.65,67,medium,high,6.8,Moderate
3/4/2019,11:40,33.71,59,medium,high,6.9,Moderate
3/4/2019,14:30,8.43,56,high,low,8,Low
3/4/2019,17:40,34.85,93,medium,high,6.3,High
3/5/2019,8:30,14.65,53,high,medium,8.2,Low
3/5/2019,11:40,5.64,71,low,low,8.3,Moderate
3/5/2019,14:30,8.31,60,high,low,8.4,Low
3/5/2019,17:40,6.32,53,high,low,8.5,Low
3/6/2019,8:30,29.69,74,medium,high,6,High
3/6/2019,11:40,6.84,53,high,low,8.2,Low
3/6/2019,14:30,9.52,80,high,low,8.7,Moderate
3/6/2019,17:40,11.62,52,high,low,8.2,Low
3/7/2019,8:30,9.76,52,high,low,8.9,Low
3/7/2019,11:40,8.68,53,high,low,8.8,Low
3/7/2019,14:30,11.58,62,high,low,8.8,Low
3/7/2019,17:40,6.91,56,high,low,8.7,Low
3/8/2019,8:30,8.85,55,high,low,8.9,Low
3/8/2019,11:40,7.81,58,high,low,8.5,Low
3/8/2019,14:30,8.45,59,high,low,8,Low
3/8/2019,17:40,13.76,51,high,medium,8.5,Low
3/9/2019,8:30,15.62,60,high,medium,8.3,Low
3/9/2019,11:40,13.75,81,medium,medium,8.9,Moderate
3/9/2019,14:30,12.27,74,low,medium,8.1,Moderate
3/9/2019,17:40,9.19,56,high,low,8.5,Low
3/10/2019,8:30,23.22,80,high,high,6.8,High
3/10/2019,11:40,16.3,60,high,medium,8.8,Low
3/10/2019,14:30,7.83,50,high,low,8.5,Low
3/10/2019,17:40,14.85,57,high,medium,8.2,Low
3/11/2019,8:30,28.83,81,high,high,5.8,High
3/11/2019,11:40,14.5,56,high,medium,9,Low
3/11/2019,14:30,12.3,50,high,medium,8.4,Low
3/11/2019,17:40,22.42,75,high,high,6.5,High
3/12/2019,8:30,15.06,84,low,medium,8.5,Moderate
3/12/2019,11:40,8.74,52,high,low,8.4,Low
3/12/2019,14:30,9.87,53,high,low,9,Low
3/12/2019,17:40,29.06,74,high,high,5.6,High
3/13/2019,8:30,25.41,56,low,high,5.9,Moderate
3/13/2019,11:40,28.23,59,low,high,5.5,Moderate
3/13/2019,14:30,16.71,51,high,medium,8.6,Low
3/13/2019,17:40,12.54,69,high,medium,8.1,Low
3/14/2019,8:30,12.35,62,high,medium,8.4,Low
3/14/2019,11:40,13.26,63,high,medium,8.6,Low
3/14/2019,14:30,34.01,98,low,high,5.3,High
3/14/2019,17:40,12.21,88,low,medium,8.5,Moderate
3/15/2019,8:30,7.41,70,high,low,8.8,Moderate
3/15/2019,11:40,12.54,57,high,medium,8,Low
3/15/2019,14:30,13.2,64,high,medium,8.5,Low
3/15/2019,17:40,9.48,52,high,low,8.9,Low
3/16/2019,8:30,23.04,60,low,high,6.9,Moderate
3/16/2019,11:40,27.7,54,high,high,6.5,Moderate
3/16/2019,14:30,30.01,98,medium,high,6.1,High
3/16/2019,17:40,11.38,63,high,low,8.4,Low
3/17/2019,8:30,8.43,57,high,low,8.1,Low
3/17/2019,11:40,8.58,69,high,low,8.3,Low
3/17/2019,14:30,19.74,85,low,medium,5.3,High
3/17/2019,17:40,14.25,59,high,medium,8.3,Low
3/18/2019,8:30,33.14,82,low,high,5.9,High
3/18/2019,11:40,14.31,87,high,medium,8.7,Moderate
3/18/2019,14:30,33.96,54,medium,high,6.5,Moderate
3/18/2019,17:40,6.68,65,high,low,8.2,Low
3/19/2019,8:30,5.7,52,high,low,8.8,Low
3/19/2019,11:40,30.94,53,medium,high,6,Moderate
3/19/2019,14:30,23.17,81,medium,high,6.7,High
3/19/2019,17:40,23.52,91,low,high,6.3,High
3/20/2019,8:30,11.92,96,low,low,8.1,Moderate
3/20/2019,11:40,14.58,53,high,medium,9,Low
3/20/2019,14:30,8.26,64,high,low,8.9,Low
3/20/2019,17:40,7.9,71,high,low,8.6,Moderate
3/21/2019,8:30,13.64,66,high,medium,8.7,Low
3/21/2019,11:40,7.5,67,high,low,8.6,Low
3/21/2019,14:30,9.58,74,medium,low,8.5,Moderate
3/21/2019,17:40,10.67,66,high,low,8.3,Low
3/22/2019,8:30,24.27,56,high,high,5.6,Moderate
3/22/2019,11:40,13.99,94,medium,medium,8.1,Moderate
3/22/2019,14:30,32.38,69,high,high,6,Moderate
3/22/2019,17:40,34.32,53,low,high,6.7,Moderate
3/23/2019,8:30,7.65,65,high,low,8.5,Low
3/23/2019,11:40,8.89,76,medium,low,8.7,Moderate
3/23/2019,14:30,5.47,53,high,low,8.4,Low
3/23/2019,17:40,8.49,69,high,low,8,Low
3/24/2019,8:30,24.64,83,low,high,5.2,High
3/24/2019,11:40,10.48,58,high,low,9,Low
3/24/2019,14:30,8.95,54,high,low,8.5,Low
3/24/2019,17:40,13.55,100,medium,medium,8.2,Moderate
3/25/2019,8:30,26.85,76,medium,high,6.2,High
3/25/2019,11:40,21.7,63,low,high,6,Moderate
3/25/2019,14:30,8.25,58,high,low,9,Low
3/25/2019,17:40,5.79,74,low,low,8.9,Moderate
3/26/2019,8:30,20.88,96,low,high,6.7,High
3/26/2019,11:40,13.02,66,high,medium,8.4,Low
3/26/2019,14:30,14.59,52,high,medium,8.2,Low
3/26/2019,17:40,12.72,89,medium,medium,8.6,Moderate
3/27/2019,8:30,13.1,83,medium,medium,9,Moderate
3/27/2019,11:40,33.73,67,low,high,5.3,Moderate
3/27/2019,14:30,7.69,58,high,low,9,Low
3/27/2019,17:40,5.2,63,high,low,8.4,Low
3/28/2019,8:30,9.08,92,low,low,9,Moderate
3/28/2019,11:40,24.99,62,low,high,5.9,Moderate
3/28/2019,14:30,11.91,67,high,low,8.3,Low
3/28/2019,17:40,6.07,55,high,low,8.9,Low
3/29/2019,8:30,15.6,58,high,medium,8.7,Low
3/29/2019,11:40,5.43,54,high,low,8.5,Low
3/29/2019,14:30,13.68,57,high,medium,8.4,Low
3/29/2019,17:40,27.59,61,medium,high,5.4,Moderate
3/30/2019,8:30,19.13,92,high,medium,6,High
3/30/2019,11:40,22.81,78,low,high,6.6,High
3/30/2019,14:30,5.7,51,high,low,8.1,Low
3/30/2019,17:40,5.05,70,high,low,8.4,Moderate
3/31/2019,8:30,6.41,56,high,low,8.5,Low
3/31/2019,11:40,26.03,66,high,high,6.9,Moderate
3/31/2019,14:30,5.1,92,low,low,8.4,Moderate
3/31/2019,17:40,32.41,56,high,high,5.5,Moderate
4/1/2019,8:30,16.81,62,high,medium,8.8,Low
4/1/2019,11:40,5.88,65,high,low,8.3,Low
4/1/2019,14:30,7.78,72,low,low,8,Moderate
4/1/2019,17:40,15.89,56,high,medium,9,Low
4/2/2019,8:30,12.93,83,low,medium,8.9,Moderate
4/2/2019,11:40,16.4,56,high,medium,8.3,Low
4/2/2019,14:30,21.59,57,medium,high,5.5,Moderate
4/2/2019,17:40,26.78,97,low,high,5.6,High
4/3/2019,8:30,10.67,59,high,low,8.5,Low
4/3/2019,11:40,16.42,69,high,medium,8.7,Low
4/3/2019,14:30,20.8,70,low,high,5.8,High
4/3/2019,17:40,18.26,53,medium,medium,6.3,Moderate
4/4/2019,8:30,8.04,58,high,low,8.2,Low
4/4/2019,11:40,7.55,65,high,low,8.7,Low
4/4/2019,14:30,7.95,55,high,low,8.9,Low
4/4/2019,17:40,5.66,50,high,low,8.5,Low
4/5/2019,8:30,6.39,56,high,low,8.1,Low
4/5/2019,11:40,24.35,80,medium,high,6.5,High
4/5/2019,14:30,18.5,60,low,medium,5.5,Moderate
4/5/2019,17:40,12.9,75,low,medium,8.5,Moderate
4/6/2019,8:30,14.99,95,high,medium,8.9,Moderate
4/6/2019,11:40,10.48,67,high,low,8.5,Low
4/6/2019,14:30,12.77,89,high,medium,8,Moderate
4/6/2019,17:40,12.98,58,high,medium,8.1,Low
4/7/2019,8:30,28.01,72,medium,high,5.6,High
4/7/2019,11:40,7.78,61,high,low,8.3,Low
4/7/2019,14:30,5.04,100,medium,low,8.8,Moderate
4/7/2019,17:40,6.06,61,high,low,8.4,Low
4/8/2019,8:30,13.32,70,high,medium,8.7,Moderate
4/8/2019,11:40,7.75,62,high,low,8.1,Low
4/8/2019,14:30,7.25,60,high,low,8.1,Low
4/8/2019,17:40,18.35,71,low,medium,5.8,High
4/9/2019,8:30,32.3,94,medium,high,6.3,High
4/9/2019,11:40,6.93,90,medium,low,8.2,Moderate
4/9/2019,14:30,32.06,87,high,high,6.3,High
4/9/2019,17:40,11.22,76,low,low,8,Moderate
4/10/2019,8:30,28.96,85,medium,high,6.4,High
4/10/2019,11:40,26.2,63,high,high,6.4,Moderate
4/10/2019,14:30,10.19,63,high,low,8.4,Low
4/10/2019,17:40,10.07,84,low,low,8.2,Moderate
4/11/2019,8:30,14.49,60,high,medium,8.4,Low
4/11/2019,11:40,7.49,75,low,low,8.8,Moderate
4/11/2019,14:30,7.75,53,high,low,8.6,Low
4/11/2019,17:40,27.69,56,medium,high,5.8,Moderate
4/12/2019,8:30,23.17,53,low,high,6.2,Moderate
4/12/2019,11:40,32.06,65,low,high,5.3,Moderate
4/12/2019,14:30,10.8,72,low,low,8.5,Moderate
4/12/2019,17:40,14.05,56,high,medium,8.6,Low
4/13/2019,8:30,13.55,70,high,medium,8.1,Moderate
4/13/2019,11:40,28.9,52,high,high,5.4,Moderate
4/13/2019,14:30,15.59,57,high,medium,8.9,Low
4/13/2019,17:40,10.08,71,medium,low,9,Moderate
4/14/2019,8:30,6.08,58,high,low,8.6,Low
4/14/2019,11:40,15.32,65,high,medium,8.8,Low
4/14/2019,14:30,7.88,65,high,low,8.1,Low
4/14/2019,17:40,25.97,65,medium,high,6.3,Moderate
4/15/2019,8:30,29.72,56,low,high,6.8,Moderate
4/15/2019,11:40,7.56,50,high,low,8.1,Low
4/15/2019,14:30,6.05,73,low,low,8,Moderate
4/15/2019,17:40,16,54,high,medium,8.2,Low
4/16/2019,8:30,12.3,69,high,medium,8.3,Low
4/16/2019,11:40,21.15,61,medium,high,5.5,Moderate
4/16/2019,14:30,12.17,64,high,medium,8.2,Low
4/16/2019,17:40,16.68,50,high,medium,8.8,Low
4/17/2019,8:30,8.92,85,high,low,8.4,Moderate
4/17/2019,11:40,14.35,50,high,medium,8.7,Low
4/17/2019,14:30,27.17,74,low,high,5.9,High
4/17/2019,17:40,6.07,70,high,low,8.9,Moderate
4/18/2019,8:30,11.24,55,high,low,8.2,Low
4/18/2019,11:40,13.12,72,high,medium,8,Moderate
4/18/2019,14:30,11.72,63,high,low,8.4,Low
4/18/2019,17:40,27.23,83,low,high,5.8,High
4/19/2019,8:30,22.81,59,medium,high,6.8,Moderate
4/19/2019,11:40,19.58,76,low,medium,5.2,High
4/19/2019,14:30,8.02,59,high,low,9,Low
4/19/2019,17:40,23.43,62,low,high,5.4,Moderate
4/20/2019,8:30,32.72,58,low,high,5.6,Moderate
4/20/2019,11:40,10.43,65,high,low,8.1,Low
4/20/2019,14:30,13.69,90,low,medium,8.8,Moderate
4/20/2019,17:40,28.16,72,high,high,5.8,High
4/21/2019,8:30,31.89,54,low,high,6.5,Moderate
4/21/2019,11:40,16.51,59,high,medium,8.9,Low
4/21/2019,14:30,8.78,70,high,low,8.3,Moderate
4/21/2019,17:40,11.98,63,high,low,9,Low
4/22/2019,8:30,28.29,74,high,high,6.7,High
4/22/2019,11:40,32.78,92,low,high,5.5,High
4/22/2019,14:30,22.27,75,medium,high,6.3,High
4/22/2019,17:40,6.54,62,high,low,8.2,Low
4/23/2019,8:30,9.55,67,high,low,8.1,Low
4/23/2019,11:40,14.59,56,high,medium,8.2,Low
4/23/2019,14:30,22.65,50,high,high,6.2,Moderate
4/23/2019,17:40,19.14,80,medium,medium,5.3,High
4/24/2019,8:30,14.59,64,high,medium,8.6,Low
4/24/2019,11:40,18.49,98,low,medium,6.8,High
4/24/2019,14:30,32.71,50,low,high,5.7,Moderate
4/24/2019,17:40,11.11,63,high,low,8.6,Low
4/25/2019,8:30,15.49,68,high,medium,8.8,Low
4/25/2019,11:40,10.41,59,high,low,9,Low
4/25/2019,14:30,16.59,58,high,medium,8.7,Low
4/25/2019,17:40,34.85,88,high,high,6.8,High
4/26/2019,8:30,9.57,61,high,low,8.1,Low
4/26/2019,11:40,16.92,58,high,medium,8.7,Low
4/26/2019,14:30,20.68,68,medium,high,5.5,Moderate
4/26/2019,17:40,10.31,68,high,low,8.1,Low
4/27/2019,8:30,12.33,52,high,medium,8.2,Low
4/27/2019,11:40,16.58,60,high,medium,9,Low
4/27/2019,14:30,9.23,67,high,low,8.8,Low
4/27/2019,17:40,7.6,52,high,low,8.3,Low
4/28/2019,8:30,10.44,100,low,low,8.2,Moderate
4/28/2019,11:40,22.06,80,medium,high,5.3,High
4/28/2019,14:30,11.52,82,medium,low,8.2,Moderate
4/28/2019,17:40,14.32,87,medium,medium,8.3,Moderate
4/29/2019,8:30,11.33,91,medium,low,8.5,Moderate
4/29/2019,11:40,33.51,68,high,high,6.8,Moderate
4/29/2019,14:30,8.97,80,medium,low,8.1,Moderate
4/29/2019,17:40,12.92,75,medium,medium,8.6,Moderate
4/30/2019,8:30,28.2,87,high,high,5.8,High
4/30/2019,11:40,33.39,51,low,high,6.6,Moderate
4/30/2019,14:30,9.43,66,high,low,8.4,Low
4/30/2019,17:40,7.59,66,high,low,9,Low
5/1/2019,8:30,15.58,65,high,medium,8.6,Low
5/1/2019,11:40,5.01,50,high,low,9,Low
5/1/2019,14:30,13.68,67,high,medium,8.6,Low
5/1/2019,17:40,29.04,53,low,high,5.1,Moderate
5/2/2019,8:30,12.84,52,high,medium,8.8,Low
5/2/2019,11:40,21.45,54,high,high,6,Moderate
5/2/2019,14:30,32.64,62,medium,high,5,Moderate
5/2/2019,17:40,33.07,96,low,high,5.3,High
5/3/2019,8:30,29.72,79,high,high,6.1,High
5/3/2019,11:40,13.13,58,high,medium,9,Low
5/3/2019,14:30,18.85,85,low,medium,6.7,High
5/3/2019,17:40,15.64,60,high,medium,9,Low
5/4/2019,8:30,9.43,70,high,low,8.6,Moderate
5/4/2019,11:40,31.36,77,high,high,5.4,High
5/4/2019,14:30,15.12,57,high,medium,8.6,Low
5/4/2019,17:40,28.46,59,high,high,6,Moderate
5/5/2019,8:30,14.6,68,high,medium,8.5,Low
5/5/2019,11:40,12.33,57,high,medium,8.8,Low
5/5/2019,14:30,20.76,77,medium,high,5.4,High
5/5/2019,17:40,10.07,53,high,low,8.9,Low
5/6/2019,8:30,12.93,85,high,medium,8.7,Moderate
5/6/2019,11:40,24.56,96,low,high,5.4,High
5/6/2019,14:30,9.8,83,medium,low,8,Moderate
5/6/2019,17:40,19.6,68,medium,medium,6.6,Moderate
5/7/2019,8:30,31,95,medium,high,6.1,High
5/7/2019,11:40,15.66,67,high,medium,8.8,Low
5/7/2019,14:30,5.29,59,high,low,8.3,Low
5/7/2019,17:40,11.72,83,low,low,8.6,Moderate
5/8/2019,8:30,29.35,61,low,high,6.4,Moderate
5/8/2019,11:40,9.52,65,high,low,8.3,Low
5/8/2019,14:30,14.95,55,high,medium,8,Low
5/8/2019,17:40,22.94,67,medium,high,6,Moderate
5/9/2019,8:30,12.91,61,high,medium,8.1,Low
5/9/2019,11:40,12.99,55,high,medium,9,Low
5/9/2019,14:30,22.13,98,medium,high,6.6,High
5/9/2019,17:40,10.2,61,high,low,8.1,Low
5/10/2019,8:30,6.6,53,high,low,8.9,Low
5/10/2019,11:40,14.88,55,high,medium,8.3,Low
5/10/2019,14:30,7.9,65,high,low,8.1,Low
5/10/2019,17:40,21.76,57,high,high,5.8,Moderate
5/11/2019,8:30,7.49,62,high,low,8.5,Low
5/11/2019,11:40,16.81,54,high,medium,8.3,Low
5/11/2019,14:30,16.46,64,high,medium,8.6,Low
5/11/2019,17:40,19.17,65,low,medium,5.6,Moderate
5/12/2019,8:30,22.1,62,medium,high,5.9,Moderate
5/12/2019,11:40,10.42,64,high,low,8.9,Low
5/12/2019,14:30,29.93,84,medium,high,6.2,High
5/12/2019,17:40,34.18,53,low,high,5.4,Moderate
5/13/2019,8:30,31.53,95,low,high,6.7,High
5/13/2019,11:40,30.8,83,medium,high,6,High
5/13/2019,14:30,19.93,90,high,medium,5.3,High
5/13/2019,17:40,21.06,94,low,high,5.1,High
5/14/2019,8:30,29.96,92,high,high,5.8,High
5/14/2019,11:40,14.07,53,high,medium,8.7,Low
5/14/2019,14:30,18.41,67,high,medium,6,Moderate
5/14/2019,17:40,13.37,68,high,medium,8.6,Low
5/15/2019,8:30,11.1,64,high,low,8.9,Low
5/15/2019,11:40,10.02,66,high,low,8.5,Low
5/15/2019,14:30,7.83,90,high,low,8.4,Moderate
5/15/2019,17:40,19.05,54,medium,medium,5.2,Moderate
5/16/2019,8:30,8.29,70,high,low,8,Moderate
5/16/2019,11:40,5.09,72,medium,low,8.4,Moderate
5/16/2019,14:30,7.19,69,high,low,8.8,Low
5/16/2019,17:40,5.79,67,high,low,8.3,Low
5/17/2019,8:30,20.54,66,low,high,6,Moderate
5/17/2019,11:40,19.41,74,medium,medium,5.2,High
5/17/2019,14:30,11.54,60,high,low,8.6,Low
5/17/2019,17:40,14.48,67,high,medium,8.8,Low
5/18/2019,8:30,12.36,65,high,medium,8.8,Low
5/18/2019,11:40,25.73,52,medium,high,5.5,Moderate
5/18/2019,14:30,10.47,86,low,low,8.1,Moderate
5/18/2019,17:40,8.2,98,low,low,8.9,Moderate
5/19/2019,8:30,13.84,67,high,medium,8.6,Low
5/19/2019,11:40,5.58,54,high,low,8.4,Low
5/19/2019,14:30,9.37,64,high,low,8.8,Low
5/19/2019,17:40,10.38,69,high,low,8.6,Low
5/20/2019,8:30,19.22,77,high,medium,5.7,High
5/20/2019,11:40,5.65,62,high,low,8.6,Low
5/20/2019,14:30,9.82,53,high,low,8.5,Low
5/20/2019,17:40,8,51,high,low,8.9,Low
5/21/2019,8:30,13.02,79,high,medium,8.2,Moderate
5/21/2019,11:40,6.62,56,high,low,8.1,Low
5/21/2019,14:30,12.99,59,high,medium,8.4,Low
5/21/2019,17:40,5.7,94,high,low,8.3,Moderate
5/22/2019,8:30,16.83,51,high,medium,8.7,Low
5/22/2019,11:40,31.94,99,medium,high,5.5,High
5/22/2019,14:30,11.29,66,high,low,8.7,Low
5/22/2019,17:40,20.02,54,low,high,7,Moderate
5/23/2019,8:30,14.42,59,high,medium,8.2,Low
5/23/2019,11:40,11.19,55,high,low,8.7,Low
5/23/2019,14:30,10.06,51,high,low,8.4,Low
5/23/2019,17:40,13.18,76,high,medium,8.4,Moderate
5/24/2019,8:30,32.27,76,medium,high,5.8,High
5/24/2019,11:40,9.67,59,high,low,8,Low
5/24/2019,14:30,12.71,61,high,medium,8.2,Low
5/24/2019,17:40,28.84,63,high,high,6.8,Moderate
5/25/2019,8:30,18.14,76,low,medium,7,High
5/25/2019,11:40,10.03,64,high,low,8.7,Low
5/25/2019,14:30,6.58,86,low,low,8.9,Moderate
5/25/2019,17:40,29.91,69,high,high,5.1,Moderate
5/26/2019,8:30,12.15,91,low,medium,8.3,Moderate
5/26/2019,11:40,13.73,70,high,medium,8.5,Moderate
5/26/2019,14:30,30.73,87,high,high,5.5,High
5/26/2019,17:40,9.99,54,high,low,8.5,Low
5/27/2019,8:30,33.22,71,low,high,6.3,High
5/27/2019,11:40,33.58,77,low,high,6.8,High
5/27/2019,14:30,5.85,53,high,low,8.6,Low
5/27/2019,17:40,11.37,54,high,low,8.6,Low
5/28/2019,8:30,7.38,57,high,low,8.2,Low
5/28/2019,11:40,6.76,51,high,low,8.8,Low
5/28/2019,14:30,33.05,86,low,high,5.8,High
5/28/2019,17:40,16.98,86,low,medium,8.1,Moderate
5/29/2019,8:30,27.11,97,low,high,5.1,High
5/29/2019,11:40,22.31,88,low,high,6.4,High
5/29/2019,14:30,29.84,95,low,high,6.1,High
5/29/2019,17:40,13.99,65,high,medium,8.5,Low
5/30/2019,8:30,10.86,61,high,low,8.5,Low
5/30/2019,11:40,13.12,84,low,medium,8.2,Moderate
5/30/2019,14:30,27.31,77,medium,high,6.1,High
5/30/2019,17:40,6.19,56,high,low,8.4,Low
5/31/2019,8:30,21.13,89,high,high,6.4,High
5/31/2019,11:40,23.99,58,high,high,6.4,Moderate
5/31/2019,14:30,12.26,56,high,medium,8.6,Low
5/31/2019,17:40,8.86,100,low,low,8.9,Moderate
6/1/2019,8:30,16.89,65,high,medium,8.2,Low
6/1/2019,11:40,16.66,53,high,medium,8.3,Low
6/1/2019,14:30,18.01,58,medium,medium,6,Moderate
6/1/2019,17:40,13.95,55,high,medium,8.3,Low
6/2/2019,8:30,10.59,69,high,low,8.3,Low
6/2/2019,11:40,12.89,60,high,medium,8.4,Low
6/2/2019,14:30,26.22,72,low,high,5.3,High
